pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1748473202,1748473217,15000.10,0.845,0.211,695.056,146
AQUATEC_PUMP,1748473220,1748473226,6000.08,3.264,0.326,695.383,173
CHARLES_AUSTEN_PUMP,1748473229,1748473244,15000.09,0.845,0.211,695.594,146
AQUATEC_PUMP,1748473247,1748473253,6000.09,3.302,0.330,695.924,175
CHARLES_AUSTEN_PUMP,1748473256,1748473271,15000.08,0.845,0.211,696.135,146
AQUATEC_PUMP,1748473274,1748473280,6000.09,3.283,0.328,696.464,174
CHARLES_AUSTEN_PUMP,1748473283,1748473298,15000.09,0.839,0.210,696.673,145
AQUATEC_PUMP,1748473301,1748473307,6000.09,3.226,0.323,696.996,171
CHARLES_AUSTEN_PUMP,1748473310,1748473325,15000.09,0.834,0.208,697.204,144
AQUATEC_PUMP,1748473328,1748473334,6000.06,3.302,0.330,697.535,175
CHARLES_AUSTEN_PUMP,1748473337,1748473352,15000.08,0.845,0.211,697.746,146
AQUATEC_PUMP,1748473356,1748473362,6000.09,3.189,0.319,698.065,169
CHARLES_AUSTEN_PUMP,1748473365,1748473380,15000.09,0.839,0.210,698.275,145
AQUATEC_PUMP,1748473383,1748473389,6000.09,3.245,0.325,698.599,172
CHARLES_AUSTEN_PUMP,1748473392,1748473407,15000.09,0.839,0.210,698.809,145
AQUATEC_PUMP,1748473410,1748473416,6000.08,3.283,0.328,699.137,174
CHARLES_AUSTEN_PUMP,1748473419,1748473434,15000.08,0.845,0.211,699.349,146
AQUATEC_PUMP,1748473437,1748473443,6000.09,3.226,0.323,699.671,171
CHARLES_AUSTEN_PUMP,1748473446,1748473461,15000.09,0.845,0.211,699.883,146
AQUATEC_PUMP,1748473464,1748473470,6000.09,3.264,0.326,700.209,173
CHARLES_AUSTEN_PUMP,1748473473,1748473488,15000.09,0.851,0.213,700.422,147
AQUATEC_PUMP,1748473491,1748473497,6000.09,3.302,0.330,700.752,175
CHARLES_AUSTEN_PUMP,1748473500,1748473515,15000.09,0.851,0.213,700.965,147
AQUATEC_PUMP,1748473518,1748473524,6000.09,3.283,0.328,701.293,174
CHARLES_AUSTEN_PUMP,1748473527,1748473542,15000.09,0.851,0.213,701.506,147
AQUATEC_PUMP,1748473545,1748473551,6000.09,3.245,0.325,701.830,172
CHARLES_AUSTEN_PUMP,1748473554,1748473569,15000.08,0.845,0.211,702.041,146
AQUATEC_PUMP,1748473572,1748473578,6000.09,3.302,0.330,702.372,175
CHARLES_AUSTEN_PUMP,1748473581,1748473596,15000.09,0.839,0.210,702.582,145
AQUATEC_PUMP,1748473599,1748473605,6000.09,3.226,0.323,702.904,171
CHARLES_AUSTEN_PUMP,1748473608,1748473623,15000.10,0.839,0.210,703.114,145
AQUATEC_PUMP,1748473626,1748473632,6000.09,3.283,0.328,703.442,174
CHARLES_AUSTEN_PUMP,1748473635,1748473650,15000.09,0.845,0.211,703.654,146
AQUATEC_PUMP,1748473653,1748473659,6000.09,3.283,0.328,703.982,174
CHARLES_AUSTEN_PUMP,1748473662,1748473677,15000.09,0.839,0.210,704.192,145
AQUATEC_PUMP,1748473680,1748473686,6000.09,3.283,0.328,704.520,174
CHARLES_AUSTEN_PUMP,1748473689,1748473704,15000.09,0.845,0.211,704.731,146
AQUATEC_PUMP,1748473707,1748473713,6000.09,3.283,0.328,705.060,174
CHARLES_AUSTEN_PUMP,1748473716,1748473731,15000.09,0.845,0.211,705.271,146
AQUATEC_PUMP,1748473734,1748473740,6000.09,3.283,0.328,705.599,174
CHARLES_AUSTEN_PUMP,1748473743,1748473758,15000.09,0.839,0.210,705.809,145
