pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
AQUATEC_PUMP,1747868386,1747868416,30000.10,3.381,1.691,3711.528,896
CHARLES_AUSTEN_PUMP,1747868426,1747868456,30000.09,0.845,0.423,3711.951,292
AQUATEC_PUMP,1747868466,1747868496,30000.09,3.381,1.691,3713.641,896
CHARLES_AUSTEN_PUMP,1747868506,1747868536,30000.09,0.848,0.424,3714.066,293
AQUATEC_PUMP,1747868546,1747868576,30000.09,3.366,1.683,3715.749,892
CHARLES_AUSTEN_PUMP,1747868586,1747868616,30000.10,0.836,0.418,3716.167,289
AQUATEC_PUMP,1747868626,1747868656,30000.11,3.298,1.649,3717.816,874
CHARLES_AUSTEN_PUMP,1747868666,1747868696,30000.09,0.845,0.423,3718.238,292
AQUATEC_PUMP,1747868706,1747868736,30000.09,3.411,1.706,3719.944,904
CHARLES_AUSTEN_PUMP,1747868746,1747868776,30000.09,0.848,0.424,3720.368,293
AQUATEC_PUMP,1747868786,1747868816,30000.10,3.400,1.700,3722.068,901
CHARLES_AUSTEN_PUMP,1747868826,1747868856,30000.09,0.839,0.420,3722.488,290
AQUATEC_PUMP,1747868866,1747868896,30000.09,3.366,1.683,3724.171,892
CHARLES_AUSTEN_PUMP,1747868906,1747868936,30000.10,0.842,0.421,3724.592,291
AQUATEC_PUMP,1747868946,1747868976,30000.10,3.283,1.642,3726.233,870
CHARLES_AUSTEN_PUMP,1747868986,1747869016,30000.09,0.845,0.423,3726.656,292
AQUATEC_PUMP,1747869026,1747869056,30000.09,3.404,1.702,3728.358,902
CHARLES_AUSTEN_PUMP,1747869066,1747869096,30000.16,0.845,0.423,3728.780,292
AQUATEC_PUMP,1747869106,1747869136,30000.09,3.370,1.685,3730.465,893
CHARLES_AUSTEN_PUMP,1747869146,1747869176,30000.05,0.854,0.427,3730.892,295
AQUATEC_PUMP,1747869186,1747869216,30000.10,3.358,1.679,3732.572,890
CHARLES_AUSTEN_PUMP,1747869226,1747869256,30000.09,0.845,0.423,3732.994,292
AQUATEC_PUMP,1747869266,1747869296,30000.09,3.302,1.651,3734.645,875
CHARLES_AUSTEN_PUMP,1747869306,1747869336,30000.08,0.854,0.427,3735.072,295
AQUATEC_PUMP,1747869346,1747869376,30000.09,3.392,1.696,3736.768,899
CHARLES_AUSTEN_PUMP,1747869386,1747869416,30000.09,0.839,0.420,3737.188,290
AQUATEC_PUMP,1747869426,1747869456,30000.10,3.230,1.615,3738.803,856
CHARLES_AUSTEN_PUMP,1747869466,1747869496,30000.09,0.839,0.420,3739.223,290
AQUATEC_PUMP,1747869506,1747869536,30000.09,3.396,1.698,3740.921,900
CHARLES_AUSTEN_PUMP,1747869546,1747869576,30000.10,0.851,0.425,3741.346,294
AQUATEC_PUMP,1747869586,1747869616,30000.09,3.366,1.683,3743.029,892
CHARLES_AUSTEN_PUMP,1747869626,1747869656,30000.09,0.842,0.421,3743.450,291
AQUATEC_PUMP,1747869666,1747869696,30000.09,3.370,1.685,3745.135,893
CHARLES_AUSTEN_PUMP,1747869706,1747869736,30000.10,0.839,0.420,3745.555,290
AQUATEC_PUMP,1747869746,1747869776,30000.09,3.389,1.694,3747.249,898
CHARLES_AUSTEN_PUMP,1747869786,1747869816,30000.09,0.839,0.420,3747.669,290
AQUATEC_PUMP,1747869826,1747869856,30000.09,3.396,1.698,3749.367,900
CHARLES_AUSTEN_PUMP,1747869866,1747869896,30000.09,0.842,0.421,3749.788,291
AQUATEC_PUMP,1747869906,1747869936,30000.09,3.325,1.662,3751.451,881
CHARLES_AUSTEN_PUMP,1747869946,1747869976,30000.09,0.842,0.421,3751.872,291
AQUATEC_PUMP,1747869986,1747870016,30000.09,3.370,1.685,3753.557,893
CHARLES_AUSTEN_PUMP,1747870026,1747870056,30000.09,0.842,0.421,3753.978,291
AQUATEC_PUMP,1747870066,1747870096,30000.09,3.340,1.670,3755.647,885
CHARLES_AUSTEN_PUMP,1747870107,1747870137,30000.09,0.831,0.415,3756.063,287
AQUATEC_PUMP,1747870147,1747870177,30000.09,3.374,1.687,3757.750,894
CHARLES_AUSTEN_PUMP,1747870187,1747870217,30000.09,0.845,0.423,3758.172,292
AQUATEC_PUMP,1747870227,1747870257,30000.09,3.419,1.709,3759.882,906
CHARLES_AUSTEN_PUMP,1747870267,1747870297,30000.10,0.842,0.421,3760.303,291
AQUATEC_PUMP,1747870307,1747870337,30000.09,3.306,1.653,3761.956,876
CHARLES_AUSTEN_PUMP,1747870347,1747870377,30000.09,0.848,0.424,3762.380,293
AQUATEC_PUMP,1747870387,1747870417,30000.10,3.411,1.706,3764.085,904
CHARLES_AUSTEN_PUMP,1747870427,1747870457,30000.09,0.854,0.427,3764.512,295
AQUATEC_PUMP,1747870467,1747870497,30000.09,3.306,1.653,3766.165,876
CHARLES_AUSTEN_PUMP,1747870507,1747870537,30000.05,0.854,0.427,3766.592,295
AQUATEC_PUMP,1747870547,1747870577,30000.09,3.419,1.709,3768.301,906
CHARLES_AUSTEN_PUMP,1747870587,1747870617,30000.10,0.842,0.421,3768.722,291
AQUATEC_PUMP,1747870627,1747870657,30000.09,3.408,1.704,3770.426,903
CHARLES_AUSTEN_PUMP,1747870667,1747870697,30000.09,0.851,0.425,3770.852,294
AQUATEC_PUMP,1747870707,1747870737,30000.09,3.275,1.638,3772.489,868
CHARLES_AUSTEN_PUMP,1747870747,1747870777,30000.09,0.851,0.425,3772.915,294
AQUATEC_PUMP,1747870787,1747870817,30000.15,3.389,1.694,3774.609,898
CHARLES_AUSTEN_PUMP,1747870827,1747870857,30000.24,0.851,0.425,3775.035,294
AQUATEC_PUMP,1747870867,1747870897,30000.10,3.264,1.632,3776.667,865
CHARLES_AUSTEN_PUMP,1747870907,1747870937,30000.09,0.842,0.421,3777.088,291
AQUATEC_PUMP,1747870947,1747870977,30000.09,3.392,1.696,3778.784,899
CHARLES_AUSTEN_PUMP,1747870987,1747871017,30000.09,0.836,0.418,3779.202,289
AQUATEC_PUMP,1747871027,1747871057,30000.09,3.249,1.625,3780.827,861
CHARLES_AUSTEN_PUMP,1747871067,1747871097,30000.10,0.839,0.420,3781.247,290
AQUATEC_PUMP,1747871107,1747871137,30000.17,3.370,1.685,3782.932,893
CHARLES_AUSTEN_PUMP,1747871147,1747871177,30000.17,0.842,0.421,3783.353,291
AQUATEC_PUMP,1747871187,1747871217,30000.10,3.366,1.683,3785.036,892
CHARLES_AUSTEN_PUMP,1747871227,1747871257,30000.10,0.851,0.425,3785.461,294
AQUATEC_PUMP,1747871267,1747871297,30000.09,3.238,1.619,3787.080,858
CHARLES_AUSTEN_PUMP,1747871307,1747871337,30000.11,0.839,0.420,3787.500,290
AQUATEC_PUMP,1747871347,1747871377,30000.09,3.374,1.687,3789.186,894
CHARLES_AUSTEN_PUMP,1747871387,1747871417,30000.10,0.851,0.425,3789.612,294
AQUATEC_PUMP,1747871427,1747871457,30000.09,3.377,1.689,3791.301,895
CHARLES_AUSTEN_PUMP,1747871467,1747871497,30000.10,0.845,0.423,3791.723,292
AQUATEC_PUMP,1747871507,1747871537,30000.10,3.385,1.692,3793.416,897
CHARLES_AUSTEN_PUMP,1747871547,1747871577,30000.13,0.854,0.427,3793.843,295
AQUATEC_PUMP,1747871587,1747871617,30000.09,3.426,1.713,3795.556,908
CHARLES_AUSTEN_PUMP,1747871627,1747871657,30000.10,0.854,0.427,3795.983,295
AQUATEC_PUMP,1747871667,1747871697,30000.09,3.343,1.672,3797.654,886
CHARLES_AUSTEN_PUMP,1747871707,1747871737,30000.09,0.845,0.423,3798.077,292
AQUATEC_PUMP,1747871747,1747871777,30000.09,3.358,1.679,3799.756,890
