pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1747302730,1747302760,30000.08,0.874,0.437,0.437,302
AQUATEC_PUMP,1747302770,1747302800,30000.12,3.415,1.708,2.145,905
CHARLES_AUSTEN_PUMP,1747302810,1747302840,30000.09,0.889,0.444,2.589,307
AQUATEC_PUMP,1747302850,1747302880,30000.09,3.415,1.708,4.296,905
CHARLES_AUSTEN_PUMP,1747302890,1747302920,30000.11,0.874,0.437,4.733,302
AQUATEC_PUMP,1747302930,1747302960,30000.11,3.423,1.711,6.445,907
CHARLES_AUSTEN_PUMP,1747302970,1747303000,30000.09,0.918,0.459,6.904,317
CHARLES_AUSTEN_PUMP,1747303015,1747303045,30000.09,0.941,0.470,0.470,325
AQUATEC_PUMP,1747303055,1747303085,30000.10,3.430,1.715,2.185,909
CHARLES_AUSTEN_PUMP,1747303095,1747303125,30000.09,0.886,0.443,2.628,306
AQUATEC_PUMP,1747303135,1747303165,30000.09,3.434,1.717,4.345,910
CHARLES_AUSTEN_PUMP,1747303175,1747303205,30000.09,0.923,0.462,4.807,319
AQUATEC_PUMP,1747303215,1747303245,30000.10,3.434,1.717,6.524,910
CHARLES_AUSTEN_PUMP,1747303255,1747303285,30000.10,0.912,0.456,6.980,315
AQUATEC_PUMP,1747303295,1747303325,30000.10,3.430,1.715,8.695,909
CHARLES_AUSTEN_PUMP,1747303335,1747303365,30000.10,0.897,0.449,9.143,310
AQUATEC_PUMP,1747303375,1747303405,30000.09,3.434,1.717,10.860,910
CHARLES_AUSTEN_PUMP,1747303415,1747303445,30000.12,0.883,0.441,11.302,305
AQUATEC_PUMP,1747303455,1747303485,30000.09,3.430,1.715,13.017,909
CHARLES_AUSTEN_PUMP,1747303495,1747303525,30000.17,0.900,0.450,13.467,311
AQUATEC_PUMP,1747303535,1747303565,30000.10,3.430,1.715,15.182,909
CHARLES_AUSTEN_PUMP,1747303575,1747303605,30000.09,0.906,0.453,15.635,313
AQUATEC_PUMP,1747303615,1747303645,30000.10,3.400,1.700,17.335,901
CHARLES_AUSTEN_PUMP,1747303655,1747303685,30000.11,0.889,0.444,17.779,307
AQUATEC_PUMP,1747303695,1747303725,30000.09,3.430,1.715,19.494,909
CHARLES_AUSTEN_PUMP,1747303735,1747303765,30000.17,0.912,0.456,19.950,315
AQUATEC_PUMP,1747303775,1747303805,30000.11,3.438,1.719,21.669,911
CHARLES_AUSTEN_PUMP,1747303815,1747303845,30000.09,0.897,0.449,22.118,310
AQUATEC_PUMP,1747303855,1747303885,30000.09,3.438,1.719,23.837,911
CHARLES_AUSTEN_PUMP,1747303895,1747303925,30002.87,0.894,0.447,24.284,309
AQUATEC_PUMP,1747303935,1747303965,30000.16,3.434,1.717,26.001,910
CHARLES_AUSTEN_PUMP,1747303975,1747304005,30000.09,0.900,0.450,26.451,311
AQUATEC_PUMP,1747304015,1747304045,30000.10,3.438,1.719,28.170,911
CHARLES_AUSTEN_PUMP,1747304055,1747304085,30000.09,0.897,0.449,28.618,310
AQUATEC_PUMP,1747304095,1747304125,30000.09,3.400,1.700,30.318,901
CHARLES_AUSTEN_PUMP,1747304135,1747304165,30000.09,0.909,0.454,30.773,314
AQUATEC_PUMP,1747304175,1747304205,30000.37,3.441,1.721,32.494,912
CHARLES_AUSTEN_PUMP,1747304215,1747304245,30000.09,0.909,0.454,32.948,314
AQUATEC_PUMP,1747304255,1747304285,30000.09,3.438,1.719,34.667,911
CHARLES_AUSTEN_PUMP,1747304295,1747304325,30000.11,0.889,0.444,35.111,307
AQUATEC_PUMP,1747304335,1747304365,30000.10,3.423,1.711,36.822,907
CHARLES_AUSTEN_PUMP,1747304375,1747304405,30000.09,0.894,0.447,37.270,309
AQUATEC_PUMP,1747304415,1747304445,30000.17,3.426,1.713,38.983,908
CHARLES_AUSTEN_PUMP,1747304455,1747304485,30000.11,0.886,0.443,39.426,306
AQUATEC_PUMP,1747304495,1747304525,30000.09,3.419,1.709,41.135,906
CHARLES_AUSTEN_PUMP,1747304535,1747304565,30000.11,0.894,0.447,41.582,309
AQUATEC_PUMP,1747304575,1747304605,30000.09,3.423,1.711,43.294,907
CHARLES_AUSTEN_PUMP,1747304615,1747304645,30000.16,0.891,0.446,43.739,308
AQUATEC_PUMP,1747304655,1747304685,30000.14,3.355,1.677,45.417,889
CHARLES_AUSTEN_PUMP,1747304695,1747304725,30000.09,0.897,0.449,45.865,310
AQUATEC_PUMP,1747304735,1747304765,30000.10,3.392,1.696,47.562,899
CHARLES_AUSTEN_PUMP,1747304775,1747304805,30000.11,0.897,0.449,48.010,310
AQUATEC_PUMP,1747304815,1747304845,30000.09,3.392,1.696,49.706,899
CHARLES_AUSTEN_PUMP,1747304855,1747304885,30000.08,0.906,0.453,50.159,313
AQUATEC_PUMP,1747304895,1747304925,30000.09,3.396,1.698,51.857,900
CHARLES_AUSTEN_PUMP,1747304935,1747304965,30000.10,0.894,0.447,52.305,309
AQUATEC_PUMP,1747304975,1747305005,30000.11,3.415,1.708,54.012,905
CHARLES_AUSTEN_PUMP,1747305015,1747305045,30000.10,0.906,0.453,54.465,313
AQUATEC_PUMP,1747305055,1747305085,30000.09,3.415,1.708,56.173,905
CHARLES_AUSTEN_PUMP,1747305095,1747305125,30000.10,0.909,0.454,56.627,314
AQUATEC_PUMP,1747305135,1747305165,30000.09,3.426,1.713,58.340,908
CHARLES_AUSTEN_PUMP,1747305175,1747305205,30000.10,0.903,0.452,58.792,312
AQUATEC_PUMP,1747305215,1747305245,30000.09,3.381,1.691,60.482,896
CHARLES_AUSTEN_PUMP,1747305255,1747305285,30000.10,0.900,0.450,60.932,311
AQUATEC_PUMP,1747305295,1747305325,30000.09,3.419,1.709,62.642,906
CHARLES_AUSTEN_PUMP,1747305335,1747305365,30000.09,0.897,0.449,63.091,310
AQUATEC_PUMP,1747305375,1747305405,30000.11,3.392,1.696,64.787,899
CHARLES_AUSTEN_PUMP,1747305415,1747305445,30000.09,0.880,0.440,65.227,304
AQUATEC_PUMP,1747305455,1747305485,30000.10,3.385,1.692,66.919,897
CHARLES_AUSTEN_PUMP,1747305495,1747305525,30000.09,0.871,0.436,67.355,301
AQUATEC_PUMP,1747305535,1747305565,30000.17,3.404,1.702,69.057,902
CHARLES_AUSTEN_PUMP,1747305575,1747305605,30000.11,0.889,0.444,69.501,307
AQUATEC_PUMP,1747305615,1747305645,30000.09,3.415,1.708,71.208,905
CHARLES_AUSTEN_PUMP,1747305655,1747305685,30000.11,0.889,0.444,71.653,307
AQUATEC_PUMP,1747305695,1747305725,30000.09,3.415,1.708,73.360,905
CHARLES_AUSTEN_PUMP,1747305735,1747305765,30000.09,0.880,0.440,73.800,304
AQUATEC_PUMP,1747305775,1747305805,30000.10,3.423,1.711,75.512,907
CHARLES_AUSTEN_PUMP,1747305815,1747305845,30000.10,0.883,0.441,75.953,305
AQUATEC_PUMP,1747305855,1747305885,30000.09,3.430,1.715,77.668,909
CHARLES_AUSTEN_PUMP,1747305895,1747305925,30000.09,0.891,0.446,78.114,308
AQUATEC_PUMP,1747305935,1747305965,30000.09,3.385,1.692,79.806,897
CHARLES_AUSTEN_PUMP,1747305975,1747306005,30000.10,0.886,0.443,80.249,306
AQUATEC_PUMP,1747306015,1747306045,30000.09,3.385,1.692,81.942,897
CHARLES_AUSTEN_PUMP,1747306055,1747306085,30000.10,0.874,0.437,82.379,302
AQUATEC_PUMP,1747306095,1747306125,30000.10,3.377,1.689,84.067,895
CHARLES_AUSTEN_PUMP,1747306135,1747306165,30000.10,0.868,0.434,84.501,300
AQUATEC_PUMP,1747306175,1747306205,30000.09,3.423,1.711,86.213,907
CHARLES_AUSTEN_PUMP,1747306215,1747306245,30000.11,0.865,0.433,86.645,299
AQUATEC_PUMP,1747306255,1747306285,30000.10,3.392,1.696,88.342,899
CHARLES_AUSTEN_PUMP,1747306295,1747306325,30000.09,0.900,0.450,88.792,311
AQUATEC_PUMP,1747306335,1747306365,30000.09,3.419,1.709,90.501,906
CHARLES_AUSTEN_PUMP,1747306375,1747306405,30000.09,0.880,0.440,90.941,304
AQUATEC_PUMP,1747306415,1747306445,30000.09,3.423,1.711,92.652,907
CHARLES_AUSTEN_PUMP,1747306455,1747306485,30000.10,0.889,0.444,93.097,307
AQUATEC_PUMP,1747306495,1747306525,30000.09,3.438,1.719,94.816,911
CHARLES_AUSTEN_PUMP,1747306535,1747306565,30005.89,0.885,0.443,95.258,306
AQUATEC_PUMP,1747306575,1747306605,30000.10,3.426,1.713,96.972,908
CHARLES_AUSTEN_PUMP,1747306615,1747306645,30000.10,0.874,0.437,97.409,302
AQUATEC_PUMP,1747306655,1747306685,30000.09,3.411,1.706,99.114,904
CHARLES_AUSTEN_PUMP,1747306695,1747306725,30000.10,0.880,0.440,99.554,304
AQUATEC_PUMP,1747306735,1747306765,30000.11,3.426,1.713,101.267,908
CHARLES_AUSTEN_PUMP,1747306775,1747306805,30000.09,0.880,0.440,101.707,304
AQUATEC_PUMP,1747306815,1747306845,30000.10,3.430,1.715,103.423,909
CHARLES_AUSTEN_PUMP,1747306855,1747306885,30000.09,0.900,0.450,103.873,311
AQUATEC_PUMP,1747306895,1747306925,30000.09,3.441,1.721,105.593,912
CHARLES_AUSTEN_PUMP,1747306935,1747306965,30000.09,0.880,0.440,106.033,304
AQUATEC_PUMP,1747306975,1747307005,30000.11,3.400,1.700,107.733,901
