pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1747727383,1747727413,30000.08,0.848,0.424,0.424,293
AQUATEC_PUMP,1747727423,1747727453,30000.11,3.389,1.694,2.118,898
CHARLES_AUSTEN_PUMP,1747727463,1747727493,30000.12,0.834,0.417,2.535,288
AQUATEC_PUMP,1747727503,1747727533,30000.10,3.268,1.634,4.169,866
CHARLES_AUSTEN_PUMP,1747727543,1747727573,30000.12,0.828,0.414,4.583,286
AQUATEC_PUMP,1747727583,1747727613,30000.10,3.377,1.689,6.272,895
CHARLES_AUSTEN_PUMP,1747727623,1747727653,30000.09,0.813,0.407,6.678,281
AQUATEC_PUMP,1747727663,1747727693,30000.09,3.389,1.694,8.373,898
CHARLES_AUSTEN_PUMP,1747727703,1747727733,30000.09,0.819,0.410,8.782,283
AQUATEC_PUMP,1747727743,1747727773,30000.09,3.392,1.696,10.478,899
CHARLES_AUSTEN_PUMP,1747727783,1747727813,30000.10,0.816,0.408,10.887,282
AQUATEC_PUMP,1747727823,1747727853,30000.09,3.389,1.694,12.581,898
CHARLES_AUSTEN_PUMP,1747727863,1747727893,30000.09,0.831,0.415,12.996,287
AQUATEC_PUMP,1747727903,1747727933,30000.10,3.385,1.692,14.689,897
CHARLES_AUSTEN_PUMP,1747727943,1747727973,30000.10,0.834,0.417,15.105,288
AQUATEC_PUMP,1747727983,1747728013,30000.09,3.392,1.696,16.802,899
CHARLES_AUSTEN_PUMP,1747728023,1747728053,30000.09,0.825,0.412,17.214,285
AQUATEC_PUMP,1747728063,1747728093,30000.10,3.389,1.694,18.908,898
CHARLES_AUSTEN_PUMP,1747728103,1747728133,30000.10,0.819,0.410,19.318,283
AQUATEC_PUMP,1747728143,1747728173,30000.09,3.392,1.696,21.014,899
CHARLES_AUSTEN_PUMP,1747728183,1747728213,30000.09,0.819,0.410,21.424,283
AQUATEC_PUMP,1747728223,1747728253,30000.10,3.389,1.694,23.118,898
CHARLES_AUSTEN_PUMP,1747728263,1747728293,30000.09,0.819,0.410,23.528,283
AQUATEC_PUMP,1747728303,1747728333,30000.10,3.389,1.694,25.222,898
CHARLES_AUSTEN_PUMP,1747728343,1747728373,30000.09,0.816,0.408,25.630,282
AQUATEC_PUMP,1747728383,1747728413,30000.09,3.272,1.636,27.266,867
CHARLES_AUSTEN_PUMP,1747728423,1747728453,30000.09,0.825,0.412,27.678,285
AQUATEC_PUMP,1747728463,1747728493,30000.09,3.396,1.698,29.377,900
CHARLES_AUSTEN_PUMP,1747728503,1747728533,30000.10,0.825,0.412,29.789,285
AQUATEC_PUMP,1747728543,1747728573,30000.08,3.396,1.698,31.487,900
CHARLES_AUSTEN_PUMP,1747728583,1747728613,30000.09,0.816,0.408,31.895,282
AQUATEC_PUMP,1747728623,1747728653,30000.08,3.396,1.698,33.593,900
CHARLES_AUSTEN_PUMP,1747728663,1747728693,30000.08,0.813,0.407,34.000,281
AQUATEC_PUMP,1747728703,1747728733,30000.09,3.396,1.698,35.698,900
CHARLES_AUSTEN_PUMP,1747728743,1747728773,30000.09,0.810,0.405,36.103,280
AQUATEC_PUMP,1747728783,1747728813,30000.09,3.358,1.679,37.783,890
CHARLES_AUSTEN_PUMP,1747728823,1747728853,30000.09,0.810,0.405,38.188,280
AQUATEC_PUMP,1747728863,1747728893,30000.11,3.275,1.638,39.826,868
CHARLES_AUSTEN_PUMP,1747728903,1747728933,30000.08,0.805,0.402,40.228,278
AQUATEC_PUMP,1747728943,1747728973,30000.09,3.400,1.700,41.928,901
CHARLES_AUSTEN_PUMP,1747728983,1747729013,30000.10,0.805,0.402,42.330,278
AQUATEC_PUMP,1747729023,1747729053,30000.11,3.404,1.702,44.032,902
CHARLES_AUSTEN_PUMP,1747729063,1747729093,30000.10,0.822,0.411,44.443,284
AQUATEC_PUMP,1747729103,1747729133,30000.08,3.283,1.642,46.085,870
CHARLES_AUSTEN_PUMP,1747729143,1747729173,30000.09,0.808,0.404,46.488,279
AQUATEC_PUMP,1747729183,1747729213,30000.09,3.404,1.702,48.190,902
CHARLES_AUSTEN_PUMP,1747729223,1747729253,30000.09,0.810,0.405,48.595,280
AQUATEC_PUMP,1747729263,1747729293,30000.09,3.404,1.702,50.297,902
CHARLES_AUSTEN_PUMP,1747729303,1747729333,30000.08,0.802,0.401,50.698,277
AQUATEC_PUMP,1747729343,1747729373,30000.09,3.366,1.683,52.381,892
CHARLES_AUSTEN_PUMP,1747729383,1747729413,30000.09,0.810,0.405,52.786,280
AQUATEC_PUMP,1747729423,1747729453,30000.09,3.408,1.704,54.490,903
CHARLES_AUSTEN_PUMP,1747729463,1747729493,30000.09,0.802,0.401,54.891,277
AQUATEC_PUMP,1747729503,1747729533,30000.09,3.287,1.643,56.534,871
CHARLES_AUSTEN_PUMP,1747729543,1747729573,30000.07,0.813,0.407,56.941,281
AQUATEC_PUMP,1747729583,1747729613,30000.09,3.408,1.704,58.645,903
CHARLES_AUSTEN_PUMP,1747729623,1747729653,30000.09,0.808,0.404,59.049,279
AQUATEC_PUMP,1747729663,1747729693,30000.11,3.404,1.702,60.751,902
CHARLES_AUSTEN_PUMP,1747729703,1747729733,30000.09,0.810,0.405,61.156,280
AQUATEC_PUMP,1747729743,1747729773,30000.08,3.408,1.704,62.859,903
CHARLES_AUSTEN_PUMP,1747729783,1747729813,30000.09,0.813,0.407,63.266,281
AQUATEC_PUMP,1747729823,1747729853,30000.10,3.291,1.645,64.911,872
CHARLES_AUSTEN_PUMP,1747729863,1747729893,30000.09,0.808,0.404,65.315,279
AQUATEC_PUMP,1747729903,1747729933,30000.09,3.404,1.702,67.017,902
CHARLES_AUSTEN_PUMP,1747729943,1747729973,30000.09,0.799,0.399,67.416,276
AQUATEC_PUMP,1747729983,1747730013,30000.08,3.415,1.708,69.124,905
CHARLES_AUSTEN_PUMP,1747730023,1747730053,30000.09,0.802,0.401,69.525,277
AQUATEC_PUMP,1747730063,1747730093,30000.09,3.366,1.683,71.208,892
CHARLES_AUSTEN_PUMP,1747730103,1747730133,30000.09,0.808,0.404,71.612,279
AQUATEC_PUMP,1747730143,1747730173,30000.09,3.411,1.706,73.317,904
CHARLES_AUSTEN_PUMP,1747730183,1747730213,30000.09,0.805,0.402,73.720,278
AQUATEC_PUMP,1747730223,1747730253,30000.09,3.411,1.706,75.425,904
CHARLES_AUSTEN_PUMP,1747730263,1747730293,30000.09,0.805,0.402,75.828,278
