pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1748127599,1748127614,15000.09,0.781,0.195,3733.699,135
AQUATEC_PUMP,1748127617,1748127623,6000.10,3.321,0.332,3734.031,176
CHARLES_AUSTEN_PUMP,1748127626,1748127641,15000.09,0.805,0.201,3734.232,139
AQUATEC_PUMP,1748127644,1748127650,6000.08,3.302,0.330,3734.563,175
CHARLES_AUSTEN_PUMP,1748127653,1748127668,15000.10,0.810,0.203,3734.765,140
AQUATEC_PUMP,1748127671,1748127677,6000.10,3.264,0.326,3735.092,173
CHARLES_AUSTEN_PUMP,1748127680,1748127695,15000.09,0.799,0.200,3735.291,138
AQUATEC_PUMP,1748127698,1748127704,6000.17,3.302,0.330,3735.622,175
CHARLES_AUSTEN_PUMP,1748127707,1748127722,15000.09,0.799,0.200,3735.821,138
AQUATEC_PUMP,1748127725,1748127731,6000.09,3.321,0.332,3736.153,176
CHARLES_AUSTEN_PUMP,1748127734,1748127749,15000.11,0.799,0.200,3736.353,138
AQUATEC_PUMP,1748127752,1748127758,6000.07,3.302,0.330,3736.683,175
CHARLES_AUSTEN_PUMP,1748127761,1748127776,15000.10,0.805,0.201,3736.884,139
AQUATEC_PUMP,1748127779,1748127785,6000.10,3.302,0.330,3737.215,175
CHARLES_AUSTEN_PUMP,1748127788,1748127803,15000.11,0.799,0.200,3737.414,138
AQUATEC_PUMP,1748127806,1748127812,6000.09,3.302,0.330,3737.744,175
CHARLES_AUSTEN_PUMP,1748127815,1748127830,15000.09,0.805,0.201,3737.946,139
AQUATEC_PUMP,1748127833,1748127839,6000.09,3.302,0.330,3738.276,175
CHARLES_AUSTEN_PUMP,1748127842,1748127857,15000.09,0.805,0.201,3738.477,139
AQUATEC_PUMP,1748127860,1748127866,6000.11,3.283,0.328,3738.805,174
CHARLES_AUSTEN_PUMP,1748127869,1748127884,15000.09,0.810,0.203,3739.008,140
AQUATEC_PUMP,1748127887,1748127893,6000.17,3.302,0.330,3739.338,175
CHARLES_AUSTEN_PUMP,1748127896,1748127911,15000.10,0.805,0.201,3739.539,139
AQUATEC_PUMP,1748127914,1748127920,6000.17,3.302,0.330,3739.869,175
CHARLES_AUSTEN_PUMP,1748127923,1748127938,15000.17,0.810,0.203,3740.072,140
AQUATEC_PUMP,1748127941,1748127947,6000.10,3.302,0.330,3740.402,175
CHARLES_AUSTEN_PUMP,1748127950,1748127965,15000.09,0.805,0.201,3740.603,139
AQUATEC_PUMP,1748127968,1748127974,6000.17,3.321,0.332,3740.935,176
CHARLES_AUSTEN_PUMP,1748127977,1748127992,15000.17,0.805,0.201,3741.137,139
AQUATEC_PUMP,1748127995,1748128001,6000.10,3.321,0.332,3741.469,176
CHARLES_AUSTEN_PUMP,1748128004,1748128019,15000.09,0.810,0.203,3741.671,140
AQUATEC_PUMP,1748128022,1748128028,6000.10,3.283,0.328,3742.000,174
CHARLES_AUSTEN_PUMP,1748128031,1748128046,15000.10,0.805,0.201,3742.201,139
AQUATEC_PUMP,1748128049,1748128055,6000.08,3.283,0.328,3742.529,174
CHARLES_AUSTEN_PUMP,1748128058,1748128073,15000.17,0.816,0.204,3742.733,141
AQUATEC_PUMP,1748128076,1748128082,6000.08,3.302,0.330,3743.063,175
CHARLES_AUSTEN_PUMP,1748128085,1748128100,15000.16,0.805,0.201,3743.264,139
AQUATEC_PUMP,1748128103,1748128109,6000.10,3.283,0.328,3743.593,174
CHARLES_AUSTEN_PUMP,1748128112,1748128127,15000.08,0.799,0.200,3743.792,138
AQUATEC_PUMP,1748128130,1748128136,6000.11,3.321,0.332,3744.125,176
CHARLES_AUSTEN_PUMP,1748128139,1748128154,15000.09,0.793,0.198,3744.323,137
AQUATEC_PUMP,1748128157,1748128163,6000.09,3.264,0.326,3744.649,173
CHARLES_AUSTEN_PUMP,1748128166,1748128181,15000.09,0.805,0.201,3744.850,139
AQUATEC_PUMP,1748128184,1748128190,6000.10,3.302,0.330,3745.181,175
CHARLES_AUSTEN_PUMP,1748128193,1748128208,15000.09,0.799,0.200,3745.380,138
AQUATEC_PUMP,1748128211,1748128217,6000.09,3.321,0.332,3745.712,176
CHARLES_AUSTEN_PUMP,1748128220,1748128235,15000.09,0.805,0.201,3745.913,139
AQUATEC_PUMP,1748128238,1748128244,6000.10,3.302,0.330,3746.244,175
CHARLES_AUSTEN_PUMP,1748128247,1748128262,15000.16,0.787,0.197,3746.440,136
AQUATEC_PUMP,1748128265,1748128271,6000.10,3.302,0.330,3746.771,175
CHARLES_AUSTEN_PUMP,1748128274,1748128289,15000.10,0.793,0.198,3746.969,137
AQUATEC_PUMP,1748128292,1748128298,6000.09,3.302,0.330,3747.299,175
CHARLES_AUSTEN_PUMP,1748128301,1748128316,15000.09,0.805,0.201,3747.500,139
AQUATEC_PUMP,1748128319,1748128325,6000.07,3.283,0.328,3747.829,174
CHARLES_AUSTEN_PUMP,1748128328,1748128343,15000.09,0.810,0.203,3748.031,140
AQUATEC_PUMP,1748128346,1748128352,6000.09,3.264,0.326,3748.358,173
CHARLES_AUSTEN_PUMP,1748128355,1748128370,15000.09,0.805,0.201,3748.559,139
AQUATEC_PUMP,1748128373,1748128379,6000.10,3.302,0.330,3748.889,175
CHARLES_AUSTEN_PUMP,1748128382,1748128397,15000.17,0.810,0.203,3749.092,140
AQUATEC_PUMP,1748128400,1748128406,6000.18,3.321,0.332,3749.424,176
CHARLES_AUSTEN_PUMP,1748128409,1748128424,15000.09,0.799,0.200,3749.623,138
AQUATEC_PUMP,1748128427,1748128433,6000.10,3.302,0.330,3749.954,175
CHARLES_AUSTEN_PUMP,1748128436,1748128451,15000.09,0.799,0.200,3750.153,138
AQUATEC_PUMP,1748128454,1748128460,6000.09,3.321,0.332,3750.485,176
CHARLES_AUSTEN_PUMP,1748128463,1748128478,15000.09,0.799,0.200,3750.685,138
AQUATEC_PUMP,1748128481,1748128487,6000.11,3.321,0.332,3751.017,176
CHARLES_AUSTEN_PUMP,1748128490,1748128505,15000.10,0.799,0.200,3751.217,138
AQUATEC_PUMP,1748128508,1748128514,6000.08,3.302,0.330,3751.547,175
CHARLES_AUSTEN_PUMP,1748128517,1748128532,15000.17,0.805,0.201,3751.748,139
AQUATEC_PUMP,1748128535,1748128541,6000.17,3.302,0.330,3752.078,175
CHARLES_AUSTEN_PUMP,1748128544,1748128559,15000.10,0.816,0.204,3752.282,141
AQUATEC_PUMP,1748128562,1748128568,6000.09,3.340,0.334,3752.616,177
CHARLES_AUSTEN_PUMP,1748128571,1748128586,15000.10,0.805,0.201,3752.818,139
AQUATEC_PUMP,1748128589,1748128595,6000.09,3.321,0.332,3753.150,176
CHARLES_AUSTEN_PUMP,1748128598,1748128613,15000.09,0.805,0.201,3753.351,139
AQUATEC_PUMP,1748128616,1748128622,6000.09,3.245,0.325,3753.675,172
CHARLES_AUSTEN_PUMP,1748128625,1748128640,15000.09,0.793,0.198,3753.874,137
AQUATEC_PUMP,1748128643,1748128649,6000.09,3.321,0.332,3754.206,176
CHARLES_AUSTEN_PUMP,1748128652,1748128667,15000.09,0.805,0.201,3754.407,139
AQUATEC_PUMP,1748128670,1748128676,6000.08,3.302,0.330,3754.737,175
CHARLES_AUSTEN_PUMP,1748128679,1748128694,15000.10,0.805,0.201,3754.938,139
AQUATEC_PUMP,1748128697,1748128703,6000.10,3.321,0.332,3755.270,176
CHARLES_AUSTEN_PUMP,1748128706,1748128721,15000.09,0.805,0.201,3755.471,139
AQUATEC_PUMP,1748128724,1748128730,6000.11,3.302,0.330,3755.802,175
CHARLES_AUSTEN_PUMP,1748128733,1748128748,15000.10,0.810,0.203,3756.004,140
AQUATEC_PUMP,1748128751,1748128757,6000.05,3.321,0.332,3756.336,176
CHARLES_AUSTEN_PUMP,1748128760,1748128775,15000.09,0.805,0.201,3756.537,139
AQUATEC_PUMP,1748128778,1748128784,6000.09,3.264,0.326,3756.864,173
CHARLES_AUSTEN_PUMP,1748128787,1748128802,15000.09,0.810,0.203,3757.066,140
AQUATEC_PUMP,1748128805,1748128811,6000.09,3.321,0.332,3757.398,176
CHARLES_AUSTEN_PUMP,1748128814,1748128829,15000.10,0.805,0.201,3757.600,139
AQUATEC_PUMP,1748128832,1748128838,6000.09,3.302,0.330,3757.930,175
CHARLES_AUSTEN_PUMP,1748128841,1748128856,15000.39,0.805,0.201,3758.131,139
AQUATEC_PUMP,1748128859,1748128865,6000.10,3.264,0.326,3758.457,173
CHARLES_AUSTEN_PUMP,1748128868,1748128883,15000.10,0.805,0.201,3758.659,139
AQUATEC_PUMP,1748128886,1748128892,6000.10,3.321,0.332,3758.991,176
CHARLES_AUSTEN_PUMP,1748128895,1748128910,15000.11,0.799,0.200,3759.190,138
AQUATEC_PUMP,1748128913,1748128919,6000.11,3.321,0.332,3759.522,176
CHARLES_AUSTEN_PUMP,1748128922,1748128937,15000.10,0.805,0.201,3759.724,139
AQUATEC_PUMP,1748128940,1748128946,6000.17,3.302,0.330,3760.054,175
CHARLES_AUSTEN_PUMP,1748128949,1748128964,15000.09,0.805,0.201,3760.255,139
AQUATEC_PUMP,1748128967,1748128973,6000.10,3.283,0.328,3760.583,174
CHARLES_AUSTEN_PUMP,1748128976,1748128991,15000.11,0.799,0.200,3760.783,138
AQUATEC_PUMP,1748128994,1748129000,6000.09,3.302,0.330,3761.113,175
CHARLES_AUSTEN_PUMP,1748129003,1748129018,15000.10,0.810,0.203,3761.316,140
AQUATEC_PUMP,1748129021,1748129027,6000.13,3.321,0.332,3761.648,176
CHARLES_AUSTEN_PUMP,1748129030,1748129045,15000.17,0.805,0.201,3761.849,139
AQUATEC_PUMP,1748129048,1748129054,6000.09,3.321,0.332,3762.181,176
CHARLES_AUSTEN_PUMP,1748129057,1748129072,15000.10,0.805,0.201,3762.382,139
AQUATEC_PUMP,1748129075,1748129081,6000.10,3.302,0.330,3762.712,175
CHARLES_AUSTEN_PUMP,1748129084,1748129099,15000.10,0.805,0.201,3762.914,139
AQUATEC_PUMP,1748129102,1748129108,6000.09,3.302,0.330,3763.244,175
CHARLES_AUSTEN_PUMP,1748129111,1748129126,15000.10,0.330,0.082,3763.326,57
AQUATEC_PUMP,1748129129,1748129135,6000.09,3.302,0.330,3763.656,175
CHARLES_AUSTEN_PUMP,1748129138,1748129153,15000.09,0.318,0.080,3763.736,55
AQUATEC_PUMP,1748129156,1748129162,6000.09,3.302,0.330,3764.066,175
CHARLES_AUSTEN_PUMP,1748129165,1748129180,15000.09,0.318,0.080,3764.146,55
AQUATEC_PUMP,1748129183,1748129189,6000.14,3.302,0.330,3764.476,175
CHARLES_AUSTEN_PUMP,1748129192,1748129207,15000.09,0.793,0.198,3764.674,137
