pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1748041192,1748041207,15000.14,0.347,0.087,2219.075,60
AQUATEC_PUMP,1748041210,1748041216,6000.10,3.340,0.334,2219.409,177
CHARLES_AUSTEN_PUMP,1748041219,1748041234,15000.11,0.347,0.087,2219.496,60
AQUATEC_PUMP,1748041237,1748041243,6000.10,3.321,0.332,2219.828,176
CHARLES_AUSTEN_PUMP,1748041246,1748041261,15000.10,0.342,0.085,2219.913,59
AQUATEC_PUMP,1748041264,1748041270,6000.08,3.321,0.332,2220.245,176
CHARLES_AUSTEN_PUMP,1748041273,1748041288,15000.09,0.347,0.087,2220.332,60
AQUATEC_PUMP,1748041291,1748041297,6000.09,3.340,0.334,2220.666,177
CHARLES_AUSTEN_PUMP,1748041300,1748041315,15000.10,0.342,0.085,2220.752,59
AQUATEC_PUMP,1748041318,1748041324,6000.09,3.321,0.332,2221.084,176
CHARLES_AUSTEN_PUMP,1748041327,1748041342,15000.18,0.353,0.088,2221.172,61
AQUATEC_PUMP,1748041345,1748041351,6000.17,3.245,0.325,2221.496,172
CHARLES_AUSTEN_PUMP,1748041354,1748041369,15000.05,0.347,0.087,2221.583,60
AQUATEC_PUMP,1748041372,1748041378,6000.17,3.302,0.330,2221.913,175
CHARLES_AUSTEN_PUMP,1748041381,1748041396,15000.10,0.353,0.088,2222.002,61
AQUATEC_PUMP,1748041399,1748041405,6000.09,3.283,0.328,2222.330,174
CHARLES_AUSTEN_PUMP,1748041408,1748041423,15000.10,0.347,0.087,2222.417,60
AQUATEC_PUMP,1748041426,1748041432,6000.09,3.321,0.332,2222.749,176
CHARLES_AUSTEN_PUMP,1748041435,1748041450,15000.17,0.359,0.090,2222.839,62
AQUATEC_PUMP,1748041453,1748041459,6000.17,3.321,0.332,2223.171,176
CHARLES_AUSTEN_PUMP,1748041462,1748041477,15000.09,0.353,0.088,2223.259,61
AQUATEC_PUMP,1748041480,1748041486,6000.11,3.302,0.330,2223.589,175
CHARLES_AUSTEN_PUMP,1748041489,1748041504,15000.09,0.353,0.088,2223.678,61
AQUATEC_PUMP,1748041507,1748041513,6000.17,3.302,0.330,2224.008,175
CHARLES_AUSTEN_PUMP,1748041516,1748041531,15000.17,0.347,0.087,2224.095,60
AQUATEC_PUMP,1748041534,1748041540,6000.09,3.302,0.330,2224.425,175
CHARLES_AUSTEN_PUMP,1748041543,1748041558,15000.10,0.347,0.087,2224.512,60
AQUATEC_PUMP,1748041561,1748041567,6000.10,3.302,0.330,2224.842,175
CHARLES_AUSTEN_PUMP,1748041570,1748041585,15000.12,0.347,0.087,2224.929,60
AQUATEC_PUMP,1748041588,1748041594,6000.18,3.302,0.330,2225.259,175
CHARLES_AUSTEN_PUMP,1748041597,1748041612,15000.18,0.353,0.088,2225.347,61
AQUATEC_PUMP,1748041615,1748041621,6000.09,3.264,0.326,2225.673,173
CHARLES_AUSTEN_PUMP,1748041624,1748041639,15000.10,0.347,0.087,2225.760,60
AQUATEC_PUMP,1748041642,1748041648,6000.11,3.321,0.332,2226.092,176
CHARLES_AUSTEN_PUMP,1748041651,1748041666,15000.11,0.359,0.090,2226.182,62
AQUATEC_PUMP,1748041669,1748041675,6000.09,3.321,0.332,2226.514,176
CHARLES_AUSTEN_PUMP,1748041678,1748041693,15000.11,0.347,0.087,2226.601,60
AQUATEC_PUMP,1748041696,1748041702,6000.10,3.302,0.330,2226.931,175
CHARLES_AUSTEN_PUMP,1748041705,1748041720,15000.09,0.347,0.087,2227.018,60
AQUATEC_PUMP,1748041723,1748041729,6000.09,3.321,0.332,2227.350,176
CHARLES_AUSTEN_PUMP,1748041732,1748041747,15000.09,0.347,0.087,2227.437,60
AQUATEC_PUMP,1748041750,1748041756,6000.09,3.264,0.326,2227.763,173
CHARLES_AUSTEN_PUMP,1748041759,1748041774,15000.11,0.359,0.090,2227.853,62
AQUATEC_PUMP,1748041777,1748041783,6000.09,3.321,0.332,2228.185,176
CHARLES_AUSTEN_PUMP,1748041786,1748041801,15000.10,0.347,0.087,2228.272,60
AQUATEC_PUMP,1748041804,1748041810,6000.09,3.283,0.328,2228.600,174
CHARLES_AUSTEN_PUMP,1748041813,1748041828,15000.10,0.342,0.085,2228.686,59
