pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
CHARLES_AUSTEN_PUMP,1748386793,1748386808,15000.11,0.799,0.200,8476.000,138
AQUATEC_PUMP,1748386811,1748386817,6000.10,3.264,0.326,8476.326,173
CHARLES_AUSTEN_PUMP,1748386820,1748386835,15000.09,0.799,0.200,8476.526,138
AQUATEC_PUMP,1748386838,1748386844,6000.11,3.302,0.330,8476.856,175
CHARLES_AUSTEN_PUMP,1748386847,1748386862,15000.16,0.799,0.200,8477.056,138
AQUATEC_PUMP,1748386865,1748386871,6000.09,3.264,0.326,8477.382,173
CHARLES_AUSTEN_PUMP,1748386874,1748386889,15000.10,0.793,0.198,8477.581,137
AQUATEC_PUMP,1748386892,1748386898,6000.10,3.283,0.328,8477.909,174
CHARLES_AUSTEN_PUMP,1748386901,1748386916,15000.12,0.793,0.198,8478.107,137
AQUATEC_PUMP,1748386919,1748386925,6000.10,3.302,0.330,8478.437,175
CHARLES_AUSTEN_PUMP,1748386928,1748386943,15000.17,0.793,0.198,8478.636,137
AQUATEC_PUMP,1748386946,1748386952,6000.17,3.283,0.328,8478.964,174
CHARLES_AUSTEN_PUMP,1748386955,1748386970,15000.08,0.793,0.198,8479.162,137
AQUATEC_PUMP,1748386973,1748386979,6000.09,3.302,0.330,8479.492,175
CHARLES_AUSTEN_PUMP,1748386982,1748386997,15000.09,0.793,0.198,8479.691,137
AQUATEC_PUMP,1748387000,1748387006,6000.16,3.302,0.330,8480.021,175
CHARLES_AUSTEN_PUMP,1748387009,1748387024,15000.10,0.799,0.200,8480.220,138
AQUATEC_PUMP,1748387027,1748387033,6000.17,3.245,0.325,8480.545,172
CHARLES_AUSTEN_PUMP,1748387036,1748387051,15000.10,0.787,0.197,8480.742,136
AQUATEC_PUMP,1748387054,1748387060,6000.09,3.245,0.325,8481.066,172
CHARLES_AUSTEN_PUMP,1748387063,1748387078,15000.10,0.793,0.198,8481.265,137
AQUATEC_PUMP,1748387081,1748387087,6000.09,3.264,0.326,8481.591,173
CHARLES_AUSTEN_PUMP,1748387090,1748387105,15000.09,0.799,0.200,8481.791,138
AQUATEC_PUMP,1748387108,1748387114,6000.10,3.264,0.326,8482.117,173
CHARLES_AUSTEN_PUMP,1748387117,1748387132,15000.09,0.793,0.198,8482.315,137
AQUATEC_PUMP,1748387135,1748387141,6000.10,3.302,0.330,8482.646,175
CHARLES_AUSTEN_PUMP,1748387144,1748387159,15000.10,0.793,0.198,8482.844,137
AQUATEC_PUMP,1748387162,1748387168,6000.09,3.302,0.330,8483.174,175
CHARLES_AUSTEN_PUMP,1748387171,1748387186,15000.10,0.787,0.197,8483.371,136
AQUATEC_PUMP,1748387189,1748387195,6000.11,3.302,0.330,8483.701,175
CHARLES_AUSTEN_PUMP,1748387198,1748387213,15000.09,0.787,0.197,8483.898,136
AQUATEC_PUMP,1748387216,1748387222,6000.11,3.321,0.332,8484.230,176
CHARLES_AUSTEN_PUMP,1748387225,1748387240,15000.11,0.793,0.198,8484.428,137
AQUATEC_PUMP,1748387243,1748387249,6000.11,3.302,0.330,8484.758,175
CHARLES_AUSTEN_PUMP,1748387252,1748387267,15000.11,0.793,0.198,8484.957,137
AQUATEC_PUMP,1748387270,1748387276,6000.09,3.226,0.323,8485.279,171
CHARLES_AUSTEN_PUMP,1748387279,1748387294,15000.10,0.787,0.197,8485.476,136
AQUATEC_PUMP,1748387297,1748387303,6000.10,3.283,0.328,8485.804,174
CHARLES_AUSTEN_PUMP,1748387306,1748387321,15000.11,0.787,0.197,8486.001,136
AQUATEC_PUMP,1748387324,1748387330,6000.10,3.245,0.325,8486.326,172
CHARLES_AUSTEN_PUMP,1748387333,1748387348,15000.10,0.787,0.197,8486.523,136
AQUATEC_PUMP,1748387351,1748387357,6000.10,3.302,0.330,8486.853,175
CHARLES_AUSTEN_PUMP,1748387360,1748387375,15000.17,0.793,0.198,8487.051,137
AQUATEC_PUMP,1748387378,1748387384,6000.10,3.283,0.328,8487.379,174
CHARLES_AUSTEN_PUMP,1748387387,1748387402,15000.11,0.787,0.197,8487.576,136
AQUATEC_PUMP,1748387405,1748387411,6000.10,3.302,0.330,8487.906,175
CHARLES_AUSTEN_PUMP,1748387414,1748387429,15000.12,0.793,0.198,8488.105,137
AQUATEC_PUMP,1748387432,1748387438,6000.11,3.302,0.330,8488.435,175
CHARLES_AUSTEN_PUMP,1748387441,1748387456,15000.10,0.793,0.198,8488.633,137
AQUATEC_PUMP,1748387459,1748387465,6000.09,3.283,0.328,8488.961,174
CHARLES_AUSTEN_PUMP,1748387468,1748387483,15000.16,0.793,0.198,8489.160,137
AQUATEC_PUMP,1748387486,1748387492,6000.17,3.245,0.325,8489.484,172
CHARLES_AUSTEN_PUMP,1748387495,1748387510,15000.16,0.793,0.198,8489.682,137
AQUATEC_PUMP,1748387513,1748387519,6000.09,3.302,0.330,8490.013,175
CHARLES_AUSTEN_PUMP,1748387522,1748387537,15000.09,0.793,0.198,8490.211,137
AQUATEC_PUMP,1748387540,1748387546,6000.10,3.245,0.325,8490.535,172
CHARLES_AUSTEN_PUMP,1748387549,1748387564,15000.10,0.793,0.198,8490.734,137
AQUATEC_PUMP,1748387567,1748387573,6000.09,3.302,0.330,8491.064,175
CHARLES_AUSTEN_PUMP,1748387576,1748387591,15000.11,0.787,0.197,8491.261,136
AQUATEC_PUMP,1748387594,1748387600,6000.11,3.264,0.326,8491.587,173
CHARLES_AUSTEN_PUMP,1748387603,1748387618,15000.18,0.787,0.197,8491.784,136
AQUATEC_PUMP,1748387621,1748387627,6000.09,3.264,0.326,8492.110,173
CHARLES_AUSTEN_PUMP,1748387630,1748387645,15000.09,0.793,0.198,8492.309,137
AQUATEC_PUMP,1748387648,1748387654,6000.07,3.283,0.328,8492.637,174
CHARLES_AUSTEN_PUMP,1748387657,1748387672,15000.09,0.799,0.200,8492.837,138
AQUATEC_PUMP,1748387675,1748387681,6000.11,3.226,0.323,8493.159,171
CHARLES_AUSTEN_PUMP,1748387684,1748387699,15000.10,0.793,0.198,8493.357,137
AQUATEC_PUMP,1748387702,1748387708,6000.10,3.245,0.325,8493.682,172
CHARLES_AUSTEN_PUMP,1748387711,1748387726,15000.09,0.787,0.197,8493.879,136
AQUATEC_PUMP,1748387729,1748387735,6000.11,3.245,0.325,8494.203,172
CHARLES_AUSTEN_PUMP,1748387738,1748387753,15000.16,0.799,0.200,8494.403,138
AQUATEC_PUMP,1748387756,1748387762,6000.16,3.264,0.326,8494.729,173
CHARLES_AUSTEN_PUMP,1748387765,1748387780,15000.16,0.787,0.197,8494.926,136
AQUATEC_PUMP,1748387783,1748387789,6000.09,3.321,0.332,8495.258,176
CHARLES_AUSTEN_PUMP,1748387792,1748387807,15000.10,0.787,0.197,8495.455,136
AQUATEC_PUMP,1748387810,1748387816,6000.10,3.321,0.332,8495.787,176
CHARLES_AUSTEN_PUMP,1748387819,1748387834,15000.09,0.793,0.198,8495.986,137
AQUATEC_PUMP,1748387837,1748387843,6000.08,3.283,0.328,8496.314,174
CHARLES_AUSTEN_PUMP,1748387846,1748387861,15000.09,0.793,0.198,8496.512,137
AQUATEC_PUMP,1748387864,1748387870,6000.11,3.302,0.330,8496.842,175
CHARLES_AUSTEN_PUMP,1748387873,1748387888,15000.10,0.793,0.198,8497.041,137
AQUATEC_PUMP,1748387891,1748387897,6000.09,3.283,0.328,8497.369,174
CHARLES_AUSTEN_PUMP,1748387900,1748387915,15000.17,0.793,0.198,8497.567,137
AQUATEC_PUMP,1748387918,1748387924,6000.09,3.264,0.326,8497.894,173
CHARLES_AUSTEN_PUMP,1748387927,1748387942,15000.11,0.781,0.195,8498.089,135
AQUATEC_PUMP,1748387945,1748387951,6000.10,3.245,0.325,8498.413,172
CHARLES_AUSTEN_PUMP,1748387954,1748387969,15000.17,0.787,0.197,8498.610,136
AQUATEC_PUMP,1748387972,1748387978,6000.09,3.264,0.326,8498.937,173
CHARLES_AUSTEN_PUMP,1748387981,1748387996,15000.16,0.793,0.198,8499.135,137
AQUATEC_PUMP,1748387999,1748388005,6000.09,3.321,0.332,8499.467,176
CHARLES_AUSTEN_PUMP,1748388008,1748388023,15000.09,0.793,0.198,8499.665,137
AQUATEC_PUMP,1748388026,1748388032,6000.09,3.283,0.328,8499.994,174
CHARLES_AUSTEN_PUMP,1748388035,1748388050,15000.10,0.793,0.198,8500.192,137
AQUATEC_PUMP,1748388053,1748388059,6000.10,3.283,0.328,8500.520,174
CHARLES_AUSTEN_PUMP,1748388062,1748388077,15000.10,0.787,0.197,8500.717,136
AQUATEC_PUMP,1748388080,1748388086,6000.09,3.245,0.325,8501.041,172
CHARLES_AUSTEN_PUMP,1748388089,1748388104,15000.16,0.787,0.197,8501.238,136
AQUATEC_PUMP,1748388107,1748388113,6000.09,3.321,0.332,8501.570,176
CHARLES_AUSTEN_PUMP,1748388116,1748388131,15000.17,0.793,0.198,8501.769,137
AQUATEC_PUMP,1748388134,1748388140,6000.09,3.264,0.326,8502.095,173
CHARLES_AUSTEN_PUMP,1748388143,1748388158,15000.17,0.787,0.197,8502.292,136
AQUATEC_PUMP,1748388161,1748388167,6000.11,3.340,0.334,8502.626,177
CHARLES_AUSTEN_PUMP,1748388170,1748388185,15000.17,0.793,0.198,8502.824,137
AQUATEC_PUMP,1748388188,1748388194,6000.17,3.321,0.332,8503.156,176
CHARLES_AUSTEN_PUMP,1748388197,1748388212,15000.17,0.793,0.198,8503.354,137
AQUATEC_PUMP,1748388215,1748388221,6000.08,3.283,0.328,8503.683,174
CHARLES_AUSTEN_PUMP,1748388224,1748388239,15000.09,0.793,0.198,8503.881,137
AQUATEC_PUMP,1748388242,1748388248,6000.08,3.283,0.328,8504.209,174
CHARLES_AUSTEN_PUMP,1748388251,1748388266,15000.10,0.793,0.198,8504.408,137
AQUATEC_PUMP,1748388269,1748388275,6000.09,3.226,0.323,8504.730,171
CHARLES_AUSTEN_PUMP,1748388278,1748388293,15000.09,0.781,0.195,8504.926,135
AQUATEC_PUMP,1748388296,1748388302,6000.14,3.283,0.328,8505.254,174
CHARLES_AUSTEN_PUMP,1748388305,1748388320,15000.16,0.793,0.198,8505.452,137
AQUATEC_PUMP,1748388323,1748388329,6000.09,3.283,0.328,8505.780,174
CHARLES_AUSTEN_PUMP,1748388332,1748388347,15000.11,0.793,0.198,8505.979,137
AQUATEC_PUMP,1748388350,1748388356,6000.10,3.321,0.332,8506.311,176
CHARLES_AUSTEN_PUMP,1748388359,1748388374,15000.17,0.781,0.195,8506.506,135
AQUATEC_PUMP,1748388377,1748388383,6000.16,3.283,0.328,8506.834,174
CHARLES_AUSTEN_PUMP,1748388386,1748388401,15000.09,0.793,0.198,8507.033,137
AQUATEC_PUMP,1748388404,1748388410,6000.09,3.264,0.326,8507.359,173
CHARLES_AUSTEN_PUMP,1748388413,1748388428,15000.09,0.781,0.195,8507.554,135
AQUATEC_PUMP,1748388431,1748388437,6000.11,3.302,0.330,8507.885,175
CHARLES_AUSTEN_PUMP,1748388440,1748388455,15000.10,0.793,0.198,8508.083,137
AQUATEC_PUMP,1748388458,1748388464,6000.11,3.283,0.328,8508.411,174
CHARLES_AUSTEN_PUMP,1748388467,1748388482,15000.09,0.799,0.200,8508.611,138
AQUATEC_PUMP,1748388485,1748388491,6000.17,3.321,0.332,8508.943,176
CHARLES_AUSTEN_PUMP,1748388494,1748388509,15000.09,0.793,0.198,8509.141,137
AQUATEC_PUMP,1748388512,1748388518,6000.09,3.321,0.332,8509.473,176
CHARLES_AUSTEN_PUMP,1748388521,1748388536,15000.17,0.799,0.200,8509.673,138
AQUATEC_PUMP,1748388539,1748388545,6000.21,3.302,0.330,8510.003,175
CHARLES_AUSTEN_PUMP,1748388548,1748388563,15000.10,0.793,0.198,8510.202,137
AQUATEC_PUMP,1748388566,1748388572,6000.10,3.302,0.330,8510.532,175
CHARLES_AUSTEN_PUMP,1748388575,1748388590,15000.09,0.793,0.198,8510.730,137
AQUATEC_PUMP,1748388593,1748388599,6000.09,3.302,0.330,8511.060,175
CHARLES_AUSTEN_PUMP,1748388602,1748388617,15000.10,0.799,0.200,8511.260,138
AQUATEC_PUMP,1748388620,1748388626,6000.09,3.302,0.330,8511.590,175
CHARLES_AUSTEN_PUMP,1748388629,1748388644,15000.10,0.793,0.198,8511.788,137
AQUATEC_PUMP,1748388647,1748388653,6000.10,3.321,0.332,8512.120,176
CHARLES_AUSTEN_PUMP,1748388656,1748388671,15000.09,0.799,0.200,8512.320,138
AQUATEC_PUMP,1748388674,1748388680,6000.14,3.245,0.325,8512.645,172
CHARLES_AUSTEN_PUMP,1748388683,1748388698,15000.11,0.799,0.200,8512.844,138
AQUATEC_PUMP,1748388701,1748388707,6000.11,3.321,0.332,8513.176,176
CHARLES_AUSTEN_PUMP,1748388710,1748388725,15000.11,0.799,0.200,8513.376,138
AQUATEC_PUMP,1748388728,1748388734,6000.11,3.302,0.330,8513.706,175
CHARLES_AUSTEN_PUMP,1748388737,1748388752,15000.10,0.793,0.198,8513.905,137
AQUATEC_PUMP,1748388755,1748388761,6000.14,3.245,0.325,8514.229,172
CHARLES_AUSTEN_PUMP,1748388764,1748388779,15000.07,0.787,0.197,8514.426,136
AQUATEC_PUMP,1748388782,1748388788,6000.10,3.264,0.326,8514.752,173
CHARLES_AUSTEN_PUMP,1748388791,1748388806,15000.10,0.793,0.198,8514.951,137
AQUATEC_PUMP,1748388809,1748388815,6000.10,3.264,0.326,8515.277,173
CHARLES_AUSTEN_PUMP,1748388818,1748388833,15000.10,0.787,0.197,8515.474,136
AQUATEC_PUMP,1748388836,1748388842,6000.17,3.245,0.325,8515.798,172
CHARLES_AUSTEN_PUMP,1748388845,1748388860,15000.14,0.787,0.197,8515.995,136
AQUATEC_PUMP,1748388863,1748388869,6000.16,3.245,0.325,8516.320,172
CHARLES_AUSTEN_PUMP,1748388872,1748388887,15000.16,0.781,0.195,8516.515,135
AQUATEC_PUMP,1748388890,1748388896,6000.16,3.302,0.330,8516.845,175
CHARLES_AUSTEN_PUMP,1748388899,1748388914,15000.17,0.793,0.198,8517.044,137
AQUATEC_PUMP,1748388917,1748388923,6000.09,3.264,0.326,8517.370,173
CHARLES_AUSTEN_PUMP,1748388926,1748388941,15000.09,0.787,0.197,8517.567,136
AQUATEC_PUMP,1748388944,1748388950,6000.10,3.321,0.332,8517.899,176
CHARLES_AUSTEN_PUMP,1748388953,1748388968,15000.09,0.793,0.198,8518.097,137
AQUATEC_PUMP,1748388971,1748388977,6000.17,3.283,0.328,8518.425,174
CHARLES_AUSTEN_PUMP,1748388980,1748388995,15000.17,0.781,0.195,8518.621,135
AQUATEC_PUMP,1748388998,1748389004,6000.10,3.302,0.330,8518.951,175
CHARLES_AUSTEN_PUMP,1748389007,1748389022,15000.16,0.793,0.198,8519.149,137
AQUATEC_PUMP,1748389025,1748389031,6000.17,3.283,0.328,8519.478,174
CHARLES_AUSTEN_PUMP,1748389034,1748389049,15000.09,0.793,0.198,8519.676,137
AQUATEC_PUMP,1748389052,1748389058,6000.09,3.321,0.332,8520.008,176
CHARLES_AUSTEN_PUMP,1748389061,1748389076,15000.11,0.793,0.198,8520.206,137
AQUATEC_PUMP,1748389079,1748389085,6000.11,3.321,0.332,8520.538,176
CHARLES_AUSTEN_PUMP,1748389088,1748389103,15000.08,0.787,0.197,8520.735,136
