pump,start_time,end_time,elapsed_time_ms,flowrate,volume,total_volume,pulse_count
AQUATEC_PUMP,1748213997,1748214003,6000.09,3.321,0.332,5259.710,176
CHARLES_AUSTEN_PUMP,1748214006,1748214021,15000.08,0.307,0.077,5259.787,53
AQUATEC_PUMP,1748214024,1748214030,6000.10,3.321,0.332,5260.119,176
CHARLES_AUSTEN_PUMP,1748214033,1748214048,15000.09,0.313,0.078,5260.197,54
AQUATEC_PUMP,1748214051,1748214057,6000.09,3.283,0.328,5260.525,174
CHARLES_AUSTEN_PUMP,1748214060,1748214075,15000.16,0.307,0.077,5260.602,53
AQUATEC_PUMP,1748214078,1748214084,6000.09,3.321,0.332,5260.934,176
CHARLES_AUSTEN_PUMP,1748214087,1748214102,15000.09,0.313,0.078,5261.012,54
AQUATEC_PUMP,1748214105,1748214111,6000.10,3.321,0.332,5261.344,176
CHARLES_AUSTEN_PUMP,1748214114,1748214129,15000.11,0.318,0.080,5261.424,55
AQUATEC_PUMP,1748214132,1748214138,6000.11,3.264,0.326,5261.750,173
CHARLES_AUSTEN_PUMP,1748214141,1748214156,15000.18,0.307,0.077,5261.827,53
AQUATEC_PUMP,1748214159,1748214165,6000.09,3.321,0.332,5262.159,176
CHARLES_AUSTEN_PUMP,1748214168,1748214183,15000.09,0.313,0.078,5262.237,54
AQUATEC_PUMP,1748214186,1748214192,6000.09,3.283,0.328,5262.566,174
CHARLES_AUSTEN_PUMP,1748214195,1748214210,15000.09,0.313,0.078,5262.644,54
AQUATEC_PUMP,1748214213,1748214219,6000.10,3.321,0.332,5262.976,176
CHARLES_AUSTEN_PUMP,1748214222,1748214237,15000.10,0.313,0.078,5263.054,54
AQUATEC_PUMP,1748214240,1748214246,6000.09,3.302,0.330,5263.384,175
CHARLES_AUSTEN_PUMP,1748214249,1748214264,15000.10,0.313,0.078,5263.462,54
AQUATEC_PUMP,1748214267,1748214273,6000.09,3.264,0.326,5263.789,173
CHARLES_AUSTEN_PUMP,1748214276,1748214291,15000.10,0.307,0.077,5263.865,53
AQUATEC_PUMP,1748214294,1748214300,6000.11,3.264,0.326,5264.192,173
CHARLES_AUSTEN_PUMP,1748214303,1748214318,15000.09,0.307,0.077,5264.269,53
AQUATEC_PUMP,1748214321,1748214327,6000.09,3.321,0.332,5264.601,176
CHARLES_AUSTEN_PUMP,1748214330,1748214345,15000.10,0.307,0.077,5264.677,53
AQUATEC_PUMP,1748214348,1748214354,6000.17,3.264,0.326,5265.004,173
CHARLES_AUSTEN_PUMP,1748214357,1748214372,15000.16,0.318,0.080,5265.083,55
AQUATEC_PUMP,1748214375,1748214381,6000.10,3.340,0.334,5265.417,177
CHARLES_AUSTEN_PUMP,1748214384,1748214399,15000.09,0.318,0.080,5265.497,55
AQUATEC_PUMP,1748214402,1748214408,6000.11,3.283,0.328,5265.825,174
CHARLES_AUSTEN_PUMP,1748214411,1748214426,15000.09,0.330,0.082,5265.908,57
AQUATEC_PUMP,1748214429,1748214435,6000.09,3.321,0.332,5266.240,176
CHARLES_AUSTEN_PUMP,1748214438,1748214453,15000.05,0.313,0.078,5266.318,54
AQUATEC_PUMP,1748214456,1748214462,6000.11,3.264,0.326,5266.644,173
CHARLES_AUSTEN_PUMP,1748214465,1748214480,15000.11,0.313,0.078,5266.723,54
AQUATEC_PUMP,1748214483,1748214489,6000.10,3.321,0.332,5267.055,176
CHARLES_AUSTEN_PUMP,1748214492,1748214507,15000.09,0.313,0.078,5267.133,54
AQUATEC_PUMP,1748214510,1748214516,6000.11,3.207,0.321,5267.453,170
CHARLES_AUSTEN_PUMP,1748214519,1748214534,15000.10,0.307,0.077,5267.530,53
AQUATEC_PUMP,1748214537,1748214543,6000.10,3.302,0.330,5267.860,175
CHARLES_AUSTEN_PUMP,1748214546,1748214561,15000.12,0.313,0.078,5267.939,54
AQUATEC_PUMP,1748214564,1748214570,6000.10,3.245,0.325,5268.263,172
CHARLES_AUSTEN_PUMP,1748214573,1748214588,15000.10,0.307,0.077,5268.340,53
AQUATEC_PUMP,1748214591,1748214597,6000.09,3.302,0.330,5268.670,175
CHARLES_AUSTEN_PUMP,1748214600,1748214615,15000.10,0.313,0.078,5268.748,54
AQUATEC_PUMP,1748214618,1748214624,6000.09,3.264,0.326,5269.075,173
CHARLES_AUSTEN_PUMP,1748214627,1748214642,15000.10,0.307,0.077,5269.151,53
AQUATEC_PUMP,1748214645,1748214651,6000.09,3.321,0.332,5269.483,176
CHARLES_AUSTEN_PUMP,1748214654,1748214669,15000.16,0.307,0.077,5269.560,53
AQUATEC_PUMP,1748214672,1748214678,6000.09,3.207,0.321,5269.881,170
CHARLES_AUSTEN_PUMP,1748214681,1748214696,15000.09,0.301,0.075,5269.956,52
AQUATEC_PUMP,1748214699,1748214705,6000.09,3.302,0.330,5270.286,175
CHARLES_AUSTEN_PUMP,1748214708,1748214723,15000.09,0.307,0.077,5270.363,53
AQUATEC_PUMP,1748214726,1748214732,6000.09,3.302,0.330,5270.693,175
CHARLES_AUSTEN_PUMP,1748214735,1748214750,15000.10,0.307,0.077,5270.770,53
AQUATEC_PUMP,1748214753,1748214759,6000.10,3.302,0.330,5271.100,175
CHARLES_AUSTEN_PUMP,1748214762,1748214777,15000.10,0.313,0.078,5271.178,54
AQUATEC_PUMP,1748214780,1748214786,6000.10,3.264,0.326,5271.505,173
CHARLES_AUSTEN_PUMP,1748214789,1748214804,15000.09,0.307,0.077,5271.581,53
AQUATEC_PUMP,1748214807,1748214813,6000.11,3.283,0.328,5271.910,174
CHARLES_AUSTEN_PUMP,1748214816,1748214831,15000.11,0.307,0.077,5271.986,53
AQUATEC_PUMP,1748214834,1748214840,6000.11,3.302,0.330,5272.316,175
CHARLES_AUSTEN_PUMP,1748214843,1748214858,15000.10,0.307,0.077,5272.393,53
AQUATEC_PUMP,1748214861,1748214867,6000.09,3.302,0.330,5272.723,175
CHARLES_AUSTEN_PUMP,1748214870,1748214885,15000.11,0.324,0.081,5272.804,56
AQUATEC_PUMP,1748214888,1748214894,6000.10,3.321,0.332,5273.136,176
CHARLES_AUSTEN_PUMP,1748214897,1748214912,15000.12,0.307,0.077,5273.213,53
AQUATEC_PUMP,1748214915,1748214921,6000.10,3.321,0.332,5273.545,176
CHARLES_AUSTEN_PUMP,1748214924,1748214939,15000.12,0.307,0.077,5273.622,53
AQUATEC_PUMP,1748214942,1748214948,6000.16,3.245,0.325,5273.946,172
CHARLES_AUSTEN_PUMP,1748214951,1748214966,15000.18,0.330,0.082,5274.029,57
AQUATEC_PUMP,1748214969,1748214975,6000.10,3.302,0.330,5274.359,175
CHARLES_AUSTEN_PUMP,1748214978,1748214993,15000.09,0.301,0.075,5274.434,52
AQUATEC_PUMP,1748214996,1748215002,6000.11,3.302,0.330,5274.765,175
CHARLES_AUSTEN_PUMP,1748215005,1748215020,15000.12,0.301,0.075,5274.840,52
AQUATEC_PUMP,1748215023,1748215029,6000.11,3.264,0.326,5275.166,173
